time,oni
1999-07-01,-1.1
1999-08-01,-1.11
1999-09-01,-1.16
1999-10-01,-1.26
1999-11-01,-1.46
1999-12-01,-1.65
2000-01-01,-1.66
2000-02-01,-1.41
2000-03-01,-1.07
2000-04-01,-0.81
2000-05-01,-0.71
2000-06-01,-0.64
2000-07-01,-0.55
2000-08-01,-0.51
2000-09-01,-0.55
2000-10-01,-0.63
2000-11-01,-0.75
2000-12-01,-0.74
2001-01-01,-0.68
2001-02-01,-0.52
2001-03-01,-0.44
2001-04-01,-0.34
2001-05-01,-0.25
2001-06-01,-0.12
2001-07-01,-0.08
2001-08-01,-0.13
2001-09-01,-0.19
2001-10-01,-0.29
2001-11-01,-0.35
2001-12-01,-0.31
2002-01-01,-0.15
2002-02-01,0.03
2002-03-01,0.09
2002-04-01,0.2
2002-05-01,0.43
2002-06-01,0.65
2002-07-01,0.79
2002-08-01,0.86
2002-09-01,1.01
2002-10-01,1.21
2002-11-01,1.31
2002-12-01,1.14
2003-01-01,0.92
2003-02-01,0.63
2003-03-01,0.38
2003-04-01,-0.04
2003-05-01,-0.26
2003-06-01,-0.16
2003-07-01,0.08
2003-08-01,0.21
2003-09-01,0.26
2003-10-01,0.29
2003-11-01,0.35
2003-12-01,0.35
2004-01-01,0.37
2004-02-01,0.31
2004-03-01,0.23
2004-04-01,0.17
2004-05-01,0.17
2004-06-01,0.28
2004-07-01,0.47
2004-08-01,0.64
2004-09-01,0.7
2004-10-01,0.67
2004-11-01,0.66
2004-12-01,0.69
2005-01-01,0.64
2005-02-01,0.58
2005-03-01,0.45
2005-04-01,0.43
2005-05-01,0.29
2005-06-01,0.11
2005-07-01,-0.06
2005-08-01,-0.14
2005-09-01,-0.11
2005-10-01,-0.29
2005-11-01,-0.57
2005-12-01,-0.84
2006-01-01,-0.85
2006-02-01,-0.77
2006-03-01,-0.57
2006-04-01,-0.37
2006-05-01,-0.14
2006-06-01,-0.03
2006-07-01,0.1
2006-08-01,0.3
2006-09-01,0.54
2006-10-01,0.77
2006-11-01,0.94
2006-12-01,0.94
2007-01-01,0.66
2007-02-01,0.22
2007-03-01,-0.12
2007-04-01,-0.32
2007-05-01,-0.38
2007-06-01,-0.47
2007-07-01,-0.56
2007-08-01,-0.81
2007-09-01,-1.07
2007-10-01,-1.34
2007-11-01,-1.5
2007-12-01,-1.6
2008-01-01,-1.64
2008-02-01,-1.52
2008-03-01,-1.29
2008-04-01,-1.01
2008-05-01,-0.84
2008-06-01,-0.61
2008-07-01,-0.37
2008-08-01,-0.23
2008-09-01,-0.24
2008-10-01,-0.35
2008-11-01,-0.55
2008-12-01,-0.73
2009-01-01,-0.85
2009-02-01,-0.79
2009-03-01,-0.61
2009-04-01,-0.33
2009-05-01,0.01
2009-06-01,0.28
2009-07-01,0.45
2009-08-01,0.58
2009-09-01,0.71
2009-10-01,1.01
2009-11-01,1.36
2009-12-01,1.56
2010-01-01,1.5
2010-02-01,1.22
2010-03-01,0.84
2010-04-01,0.35
2010-05-01,-0.17
2010-06-01,-0.66
2010-07-01,-1.05
2010-08-01,-1.35
2010-09-01,-1.56
2010-10-01,-1.64
2010-11-01,-1.64
2010-12-01,-1.59
2011-01-01,-1.42
2011-02-01,-1.19
2011-03-01,-0.93
2011-04-01,-0.73
2011-05-01,-0.55
2011-06-01,-0.44
2011-07-01,-0.48
2011-08-01,-0.62
2011-09-01,-0.83
2011-10-01,-1.01
2011-11-01,-1.09
2011-12-01,-1.04
2012-01-01,-0.86
2012-02-01,-0.72
2012-03-01,-0.59
2012-04-01,-0.47
2012-05-01,-0.26
2012-06-01,-0.01
2012-07-01,0.25
2012-08-01,0.37
2012-09-01,0.37
2012-10-01,0.27
2012-11-01,0.05
2012-12-01,-0.21
2013-01-01,-0.43
2013-02-01,-0.43
2013-03-01,-0.34
2013-04-01,-0.3
2013-05-01,-0.36
2013-06-01,-0.41
2013-07-01,-0.4
2013-08-01,-0.32
2013-09-01,-0.26
2013-10-01,-0.18
2013-11-01,-0.17
2013-12-01,-0.27
2014-01-01,-0.42
2014-02-01,-0.46
2014-03-01,-0.27
2014-04-01,0.04
2014-05-01,0.21
2014-06-01,0.16
2014-07-01,0.05
2014-08-01,0.07
2014-09-01,0.23
2014-10-01,0.49
2014-11-01,0.64
2014-12-01,0.66
2015-01-01,0.55
2015-02-01,0.47
2015-03-01,0.53
2015-04-01,0.7
2015-05-01,0.93
2015-06-01,1.18
2015-07-01,1.52
2015-08-01,1.86
2015-09-01,2.16
2015-10-01,2.42
2015-11-01,2.57
2015-12-01,2.64
2016-01-01,2.48
2016-02-01,2.14
2016-03-01,1.58
2016-04-01,0.94
2016-05-01,0.39
2016-06-01,-0.07
2016-07-01,-0.36
2016-08-01,-0.54
2016-09-01,-0.63
2016-10-01,-0.69
2016-11-01,-0.67
2016-12-01,-0.56
2017-01-01,-0.34
2017-02-01,-0.16
2017-03-01,0.05
2017-04-01,0.2
2017-05-01,0.3
2017-06-01,0.31
2017-07-01,0.14
2017-08-01,-0.11
2017-09-01,-0.38
2017-10-01,-0.65
2017-11-01,-0.84
2017-12-01,-0.97
2018-01-01,-0.92
2018-02-01,-0.85
2018-03-01,-0.7
2018-04-01,-0.5
2018-05-01,-0.22
2018-06-01,-0.01
2018-07-01,0.09
2018-08-01,0.23
2018-09-01,0.49
2018-10-01,0.76
2018-11-01,0.9
2018-12-01,0.81
2019-01-01,0.75
2019-02-01,0.72
2019-03-01,0.71
2019-04-01,0.66
2019-05-01,0.54
2019-06-01,0.45
2019-07-01,0.28
2019-08-01,0.14
2019-09-01,0.19
2019-10-01,0.35
2019-11-01,0.51
2019-12-01,0.55
2020-01-01,0.5
2020-02-01,0.48
2020-03-01,0.4
2020-04-01,0.19
2020-05-01,-0.08
2020-06-01,-0.3
2020-07-01,-0.41
2020-08-01,-0.57
2020-09-01,-0.89
2020-10-01,-1.17
2020-11-01,-1.27
2020-12-01,-1.19
2021-01-01,-1.05
2021-02-01,-0.93
2021-03-01,-0.84
2021-04-01,-0.66
2021-05-01,-0.48
2021-06-01,-0.38
2021-07-01,-0.4
2021-08-01,-0.49
2021-09-01,-0.67
2021-10-01,-0.81
2021-11-01,-0.98
2021-12-01,-0.98
2022-01-01,-0.97
2022-02-01,-0.93
2022-03-01,-0.99
2022-04-01,-1.06
2022-05-01,-0.99
2022-06-01,-0.85
2022-07-01,-0.81
2022-08-01,-0.91
2022-09-01,-1.01
2022-10-01,-0.99
2022-11-01,-0.92
2022-12-01,-0.83
2023-01-01,-0.68
2023-02-01,-0.43
2023-03-01,-0.15
2023-04-01,0.16
2023-05-01,0.48
2023-06-01,0.77
2023-07-01,1.07
2023-08-01,1.32
2023-09-01,1.56
2023-10-01,1.78
2023-11-01,1.92
2023-12-01,1.95
2024-01-01,1.78
2024-02-01,1.48
2024-03-01,1.14
2024-04-01,0.71
2024-05-01,0.39
2024-06-01,0.15
2024-07-01,0.04
2024-08-01,-0.11
2024-09-01,-0.21
2024-10-01,-0.26
2024-11-01,-0.37
2024-12-01,-0.53
